long,'lat','geo'
-64.721322,-3.371303,1
-61.374854,10.443833,1
-60.143388,-1.759593,1
-77.925619,-1.082041,1
-76.277758,-0.438198,1
-76.278477,-0.438513,1
-76.148567,-0.636395,1
-76.148544,-0.636408,1
-76.164755,-0.635553,1
-76.145797,-0.637812,1
-76.439505,-0.52508,1
-76.384537,-0.5062,1
-76.400362,-0.66897,1
-69.110239,-12.224554,1
-76.439637,-0.524703,1
-76.439872,-0.524763,1
-76.441278,-0.525337,1
-59.92331,-2.964889,1
-59.934847,-3.005527,1
-55.509545,-11.860846,1
-78.012372,-1.499178,1
-54.726568,-2.41841,1
-48.294464,-1.217283,1
-76.440147,-0.523617,1
-70.098537,-12.55976,1
-76.164864,-0.63565,1
-49.677769,-3.766076,1
-76.160186,-0.069917,1
-66.065088,-11.216259,1
-71.407622,-11.88835,1
-76.163923,-0.069113,1
-77.840187,-1.617471,1
-77.862276,-0.950626,1
-78.658988,-4.248346,1
-55.189386,5.423262,1
-76.39135,-0.670972,1
-67.625467,-10.081007,1
-61.374854,10.443829,1
-77.420587,-0.549967,1
-77.574965,-1.034287,1
-76.165047,-0.636392,1
-76.164786,-0.63657,1
-47.738677,-3.295651,1
-76.068174,-0.551779,1
-61.374221,10.443651,1
-76.051955,-0.547537,1
-76.051947,-0.547572,1
-76.052086,-0.547672,1
-76.064774,-0.551259,1
-76.052672,-0.548175,1
-76.053283,-0.549438,1
-76.052069,-0.548603,1
-76.456444,-0.469762,1
-76.052078,-0.54769,1
-76.459167,-0.471389,1
-76.052147,-0.547768,1
-72.917,-3.258,1
-71.403713,-12.894981,1
-76.279192,-0.438419,1
-76.313481,-0.475331,1
-76.45913,-0.472253,1
-76.286791,0.500624,1
-76.291394,0.477152,1
-55.921565,-9.555626,1
-77.04381,0.662502,1
-75.606263,-0.820999,1
-75.581874,-0.837482,1
-72.375535,5.518937,1
-76.440521,-0.527744,1
-76.439877,-0.52777,1
-77.084947,0.639255,1
-77.103479,0.642106,1
-58.323021,-3.850892,1
-76.39736,-0.674358,1
-59.940163,-3.006983,1
-76.149834,-0.638063,1
-76.290579,-0.128925,1
-59.911508,-2.992684,1
-78.108,-2.389052,1
-78.10759,-2.388568,1
-78.108003,-2.389015,1
-78.10799,-2.389023,1
-78.107192,-2.38967,1
-78.107597,-2.388537,1
-78.10758,-2.388368,1
-78.107638,-2.38843,1
-78.108008,-2.389008,1
-78.107192,-2.389667,1
-78.10765,-2.38855,1
-78.10754,-2.388375,1
-78.107983,-2.389007,1
-78.107195,-2.38967,1
-59.923212,-3.693019,1
-53.417671,-18.158788,1
-70.813482,-12.275272,1
-60.921232,-2.579073,1
-53.85526,-19.025,1
-59.922833,-2.963344,1
-61.326931,10.353378,1
-60.021731,-3.119027,1
-76.278656,-0.437695,1
-74.305444,0.252389,1
-74.262444,0.078667,1
-76.051842,-0.550122,1
-76.052703,-0.548083,1
-76.052165,-0.547531,1
-76.052124,-0.547715,1
-76.052718,-0.548314,1
-73.873278,2.293472,1
-73.875028,2.293444,1
-76.051697,-0.549892,1
-58.689663,4.65018,1
-72.853,-3.45,1
-66.080944,-3.604056,1
-66.088056,-3.766389,1
-66.130556,-3.662222,1
-66.143056,-3.674722,1
-76.731723,-1.104238,1
-69.495075,-12.855471,1
-76.41283,-0.484129,1
-76.047738,-0.553847,1
-76.442418,-0.519349,1
-72.515419,-3.474308,1
-60.941545,-2.648814,1
-69.308197,-12.795186,1
-75.866667,1.566667,1
-75.866667,1.6,1
-67.93694,-1.96063,1
-67.93575,-1.96049,1
-67.59981,-1.77335,1
-76.149698,-0.637945,1
-76.149843,-0.637103,1
-76.169783,-0.62755,1
