area	type	diversity	ext	mean	desv1	desv2
cerrado	random	interaction	11	0.1852225	0.1852225	0.1852225
cerrado	random	interaction	16	0.1810499	0.191228934	0.179216066
cerrado	random	interaction	21	0.17750383	0.188643688	0.173456112
cerrado	random	interaction	26	0.17259068	0.186650369	0.168357291
cerrado	random	interaction	32	0.16654976	0.18424183	0.16093953
cerrado	random	interaction	37	0.16081097	0.18055042	0.1525491
cerrado	random	interaction	42	0.15155949	0.1759313	0.14569064
cerrado	random	interaction	47	0.14435447	0.17068669	0.13243229
cerrado	random	interaction	53	0.13304184	0.16447903	0.12422991
cerrado	random	interaction	58	0.12205883	0.15507733	0.11100635
cerrado	random	interaction	63	0.10053185	0.14753569	0.09658197
cerrado	random	interaction	68	0.08109034	0.12732909	0.07373461
cerrado	random	interaction	74	0.05553874	0.11046101	0.05171967
cerrado	random	interaction	79	0.03149718	0.08098167	0.03009581
cerrado	random	functional	0	0.0483203	0.05429788	0.00869648
cerrado	random	functional	5	0.04865261	0.0483203	0.0483203
cerrado	random	functional	11	0.04972745	0.052878005	0.044427215
cerrado	random	functional	16	0.0502159	0.056164415	0.043290485
cerrado	random	functional	21	0.04962938	0.057273658	0.043158142
cerrado	random	functional	26	0.04943028	0.05641043	0.04284833
cerrado	random	functional	32	0.04877732	0.055924245	0.042936315
cerrado	random	functional	37	0.04813159	0.056267928	0.041286712
cerrado	random	functional	42	0.04791403	0.055781418	0.040481762
cerrado	random	functional	47	0.04654922	0.056466666	0.039361394
cerrado	random	functional	53	0.04443648	0.055075141	0.038023299
cerrado	random	functional	58	0.04243981	0.052555566	0.036317394
cerrado	random	functional	63	0.03912323	0.050466642	0.034412978
cerrado	random	functional	68	0.03447652	0.047203066	0.031043394
cerrado	random	functional	74	0.027958	0.042430413	0.026522627
cerrado	random	functional	79	0.01950578	0.035967341	0.019948659
cerrado	random	phy	0	0.004906738	0.027110079	0.011901481
cerrado	random	phy	5	0.005290818	0.004906738	0.004906738
cerrado	random	phy	11	0.005273654	0.005591162	0.004990474
cerrado	random	phy	16	0.005516334	0.005673221	0.004874087
cerrado	random	phy	21	0.005638804	0.006013469	0.005019199
cerrado	random	phy	26	0.005804835	0.006207835	0.005069773
cerrado	random	phy	32	0.005905855	0.00641179	0.00519788
cerrado	random	phy	37	0.005849522	0.006591235	0.005220475
cerrado	random	phy	42	0.006007419	0.006463152	0.005235892
cerrado	random	phy	47	0.006137773	0.00674598	0.005268858
cerrado	random	phy	53	0.006147866	0.00705279	0.005222757
cerrado	random	phy	58	0.006191006	0.007053923	0.005241809
cerrado	random	phy	63	0.006196529	0.007038881	0.005343131
cerrado	random	phy	68	0.006483265	0.007002392	0.005390666
cerrado	random	phy	74	0.006549224	0.007293765	0.005672765
cerrado	random	phy	79	0.00621001	0.007508292	0.005590156
pantanal	random	interaction	0	0.19941774	0.19941774	0.19941774
pantanal	random	interaction	5	0.19294848	0.19941774	0.19941774
pantanal	random	interaction	10	0.18682106	0.19723188	0.185235353
pantanal	random	interaction	14	0.18105569	0.19723188	0.17641024
pantanal	random	interaction	19	0.17588885	0.19577542	0.16633596
pantanal	random	interaction	24	0.17021606	0.19323083	0.15854687
pantanal	random	interaction	29	0.16509522	0.18826746	0.15216466
pantanal	random	interaction	33	0.15852172	0.18558219	0.14460825
pantanal	random	interaction	38	0.15285691	0.18000925	0.13703419
pantanal	random	interaction	43	0.14514236	0.17605674	0.12965708
pantanal	random	interaction	48	0.13513525	0.17030973	0.11997499
pantanal	random	interaction	52	0.12384575	0.16260821	0.10766229
pantanal	random	interaction	57	0.1114187	0.15268289	0.09500861
pantanal	random	interaction	62	0.09591169	0.14009099	0.08274641
pantanal	random	interaction	67	0.08187225	0.12579802	0.06602536
pantanal	random	interaction	71	0.06226412	0.1105922	0.0531523
pantanal	random	interaction	76	0.04216214	0.08899728	0.03553096
pantanal	random	functional	0	0.063728	0.06660383	0.01772045
pantanal	random	functional	5	0.06327519	0.063728	0.063728
pantanal	random	functional	10	0.06212455	0.066381067	0.060169313
pantanal	random	functional	14	0.06143021	0.067291841	0.056957259
pantanal	random	functional	19	0.06053987	0.06765386	0.05520656
pantanal	random	functional	24	0.06008471	0.067993202	0.053086538
pantanal	random	functional	29	0.05977666	0.068202912	0.051966508
pantanal	random	functional	33	0.05911442	0.067778356	0.051774964
pantanal	random	functional	38	0.05760462	0.067377906	0.050850934
pantanal	random	functional	43	0.05646605	0.065846098	0.049363142
pantanal	random	functional	48	0.05453433	0.065146455	0.047785645
pantanal	random	functional	52	0.05294683	0.062927037	0.046141623
pantanal	random	functional	57	0.05041073	0.061718961	0.044174699
pantanal	random	functional	62	0.04694205	0.059493394	0.041328066
pantanal	random	functional	67	0.04292147	0.054427151	0.039456949
pantanal	random	functional	71	0.03917755	0.050485528	0.035357412
pantanal	random	functional	76	0.03343829	0.047442083	0.030913017
pantanal	random	phy	0	0.006468612	0.006468612	0.006468612
pantanal	random	phy	5	0.006304714	0.006468612	0.006468612
pantanal	random	phy	10	0.006178649	0.006844711	0.005764717
pantanal	random	phy	14	0.006082964	0.006811755	0.005545543
pantanal	random	phy	19	0.006005444	0.006715273	0.005450655
pantanal	random	phy	24	0.006002508	0.006707003	0.005303885
pantanal	random	phy	29	0.006042072	0.006730527	0.005274489
pantanal	random	phy	33	0.006073315	0.006827264	0.005256881
pantanal	random	phy	38	0.006079817	0.006966208	0.005180422
pantanal	random	phy	43	0.006049209	0.006966214	0.00519342
pantanal	random	phy	48	0.006074784	0.006996067	0.005102351
pantanal	random	phy	52	0.00607067	0.007047612	0.005101956
pantanal	random	phy	57	0.00609803	0.00699011	0.00515123
pantanal	random	phy	62	0.006196898	0.006961213	0.005234847
pantanal	random	phy	67	0.006321446	0.007116928	0.005276868
pantanal	random	phy	71	0.006494003	0.007188539	0.005454353
pantanal	random	phy	76	0.006798909	0.007258663	0.005729343
chaco	climate	functional	0	0.04931843	0.007730007	0.005867811
chaco	climate	functional	5	0.047144222	NA	NA
chaco	climate	functional	10	0.046754429	NA	NA
chaco	climate	functional	15	0.047040544	NA	NA
chaco	climate	functional	20	0.046027232	NA	NA
chaco	climate	functional	25	0.046791156	NA	NA
chaco	climate	functional	30	0.048472688	NA	NA
chaco	climate	functional	35	0.046546445	NA	NA
chaco	climate	functional	40	0.046299741	NA	NA
chaco	climate	functional	45	0.045471144	NA	NA
chaco	climate	functional	50	0.047208621	NA	NA
chaco	climate	functional	55	0.046925186	NA	NA
chaco	climate	functional	60	0.03699968	NA	NA
chaco	climate	functional	65	0.04156039	NA	NA
chaco	climate	functional	70	0.033873413	NA	NA
chaco	climate	functional	75	0.029462189	NA	NA
chaco	climate	functional	80	NA	NA	NA
chaco	land	functional	0	0.04931843	NA	NA
chaco	land	functional	5	0.048624097	NA	NA
chaco	land	functional	10	0.046754429	NA	NA
chaco	land	functional	15	0.068878267	NA	NA
